id,PositionTitle,Designation,Salary,Locations,VacancyType,EmploymentCategory,NumberOfVacancies,NumberOfApplicants,NumberOfSuccessfulApplicants,Remoteness,Region,Flexibility,Vacancy6MonthsOrLess,Department,ClassificationLevel,SalaryRange,ApplicantSuccessRate,Success
163497,Mining Officer,"PROFESSIONAL 1, PROFESSIONAL 2",88290,Darwin,Fixed (Temporary) - Full Time,"Professional, Administration and Business Services",1.0,6,0,Outer Regional,Darwin Region,No,Yes,"Department of Industry, Tourism and Trade",Entry,24000 - 88000,0.0,No
163508,Community Child Health Nurse,NURSE LEVEL 4,122287,Darwin,Fixed (Temporary) - Full Time,"Allied Health and Health Care Services, Nursing and Midwifery",1.0,5,0,Outer Regional,Darwin Region,No,No,Department of Health,Entry,103000 - 134000,0.0,No
163522,Senior Aboriginal Community Worker,ADMINISTRATIVE OFFICER 6,102135,Alice Springs,Ongoing (Permanent) - Full Time,"Child Protection, Community Services, Social Work",2.0,5,1,Very Remote,Central Region,No,No,"Department of Territory Families, Housing and Communities",Intermediate,88000 - 103000,0.5,Yes
163523,Aboriginal Community Worker,ADMINISTRATIVE OFFICER 5,90492,Alice Springs,Ongoing (Permanent) - Full Time,"Child Protection, Community Services, Social Work",1.0,11,0,Very Remote,Central Region,No,No,"Department of Territory Families, Housing and Communities",Entry,88000 - 103000,0.0,No
163529,Coordinator Compliance,ADMINISTRATIVE OFFICER 6,102135,Darwin,Fixed (Temporary) - Full Time,Administration and Business Services,1.0,16,1,Outer Regional,Darwin Region,No,No,"Department of Territory Families, Housing and Communities",Intermediate,88000 - 103000,1.0,Yes
163549,Court Officer,ADMINISTRATIVE OFFICER 3,68933,Alice Springs,Fixed (Temporary) - Full Time,"Administration and Business Services, Legal",1.0,29,1,Very Remote,Central Region,No,Yes,Department of the Attorney-General and Justice,Entry,24000 - 88000,1.0,Yes
163553,Administration Officer,ADMINISTRATIVE OFFICER 3 96%,79987,Nhulunbuy,Fixed (Temporary) - Full Time,Administration and Business Services,1.0,22,0,Remote,East Arnhem Region,No,No,Department of Education,Entry,24000 - 88000,0.0,No
163556,Court Officer,ADMINISTRATIVE OFFICER 3,68933,Katherine,Ongoing (Permanent) - Full Time,"Legal, Administration and Business Services",2.0,18,1,Remote,Big Rivers Region,No,No,Department of the Attorney-General and Justice,Entry,24000 - 88000,0.5,Yes
163563,Social Worker,PROFESSIONAL 2,98618,Darwin,Fixed (Temporary) - Full Time,"Social Work, Allied Health and Health Care Services",1.0,16,1,Outer Regional,Darwin Region,No,No,Department of Health,Entry,88000 - 103000,1.0,Yes
163565,Transition - Year 2 Classroom Teacher ,CLASSROOM TEACHER,84191,Mamaruni,Fixed (Temporary) - Full Time,Education and Training,1.0,6,1,Very Remote,Top End Region,No,No,Department of Education,Entry,24000 - 88000,1.0,Yes
163588,"Executive Director, Digital Government",EXECUTIVE OFFICER 3 - EXECUTIVE CONTRACT,277241,Darwin,Fixed (Temporary) - Full Time,"Executive and Senior Management, Information and Communication Technology (ICT)",1.0,0,0,Outer Regional,Darwin Region,No,No,Department of Corporate and Digital Development,Middle Management,134000 - 384000,0.0,No
163595,Families as First Teachers-Stay Play Learn Family Educator,CLASSROOM TEACHER,84191,Alice Springs,Fixed (Temporary) - Part Time,Education and Training,1.0,3,0,Very Remote,Central Region,No,No,Department of Education,Entry,24000 - 88000,0.0,No
163598,Criminal Records Officer,ADMINISTRATIVE OFFICER 3,68933,Darwin,Ongoing (Permanent) - Full Time,"Administration and Business Services, Police, Fire and Emergency Workers, Information and Records Management",8.0,109,7,Outer Regional,Darwin Region,No,No,"NT Police, Fire and Emergency Services",Entry,24000 - 88000,0.875,Yes
163613,Water and Wastewater Quality Officer,PWC BAND 2 PROFESSIONAL,102553,Darwin,Ongoing (Permanent) - Full Time,"Environment, Natural Resources and Conservation, Professional, Science",1.0,45,1,Outer Regional,Darwin Region,No,No,Department of Health,Entry,88000 - 103000,1.0,Yes
163620,Senior Investigator,ADMINISTRATIVE OFFICER 7,118256,Darwin,Ongoing (Permanent) - Full Time,"Legal, Police, Fire and Emergency Workers, Accounting and Finance, Administration and Business Services",2.0,57,1,Outer Regional,Darwin Region,No,No,Department of the Attorney-General and Justice,Intermediate,103000 - 134000,0.5,Yes
163627,Bus Driver/Patient Service Assistant,PHYSICAL 3,63357,Alice Springs,Ongoing (Permanent) - Part Time,"Transport and Logistics, Allied Health and Health Care Services, Trades, Maintenance and Services",3.0,18,2,Very Remote,Central Region,No,No,Department of Health,Entry,24000 - 88000,0.6666666666666666,Yes
163632,Cook,PHYSICAL 3 - RDO,63357,Katherine,Ongoing (Permanent) - Full Time,Hospitality and Food Services,1.0,7,1,Remote,Big Rivers Region,No,No,Department of Health,Entry,24000 - 88000,1.0,Yes
163635,Aboriginal and Islander Educational Worker,ADMINISTRATIVE OFFICER 4 92%,90492,Darwin,Fixed (Temporary) - Full Time,"Education and Training, Administration and Business Services",1.0,2,0,Outer Regional,Darwin Region,No,Yes,Department of Education,Entry,88000 - 103000,0.0,No
163636,Administration Manager,ADMINISTRATIVE OFFICER 5,90492,Alice Springs,Fixed (Temporary) - Full Time,"Administration and Business Services, Education and Training",1.0,6,1,Very Remote,Central Region,No,Yes,Department of Education,First Management,88000 - 103000,1.0,Yes
163653,Front Office Manager,ADMINISTRATIVE OFFICER 4,79987,Darwin,Fixed (Temporary) - Full Time,Administration and Business Services,1.0,0,0,Outer Regional,Darwin Region,No,Yes,Department of Education,First Management,24000 - 88000,0.0,No
163654,Communications Consultant Masterbrand,ADMINISTRATIVE OFFICER 6,102135,Darwin,Ongoing (Permanent) - Full Time,"Administration and Business Services, Communication, Media and Public Relations",1.0,12,1,Outer Regional,Darwin Region,No,No,Department of the Chief Minister and Cabinet,Entry,88000 - 103000,1.0,Yes
163655,"Communications Consultant, Population ",ADMINISTRATIVE OFFICER 6,102135,Darwin,Fixed (Temporary) - Full Time,"Administration and Business Services, Communication, Media and Public Relations",1.0,8,1,Outer Regional,Darwin Region,No,No,Department of the Chief Minister and Cabinet,Entry,88000 - 103000,1.0,Yes
163657,"Project Manager, Masterbrand",ADMINISTRATIVE OFFICER 7,118256,Darwin,Ongoing (Permanent) - Full Time,"Administration and Business Services, Communication, Media and Public Relations",1.0,9,1,Outer Regional,Darwin Region,No,No,Department of the Chief Minister and Cabinet,First Management,103000 - 134000,1.0,Yes
163658,"Project Manager, Population",ADMINISTRATIVE OFFICER 7,118256,Darwin,Fixed (Temporary) - Full Time,"Administration and Business Services, Communication, Media and Public Relations",1.0,10,0,Outer Regional,Darwin Region,No,No,Department of the Chief Minister and Cabinet,First Management,103000 - 134000,0.0,No
163681,Administration and Logistics Officer,ADMINISTRATIVE OFFICER 4,79987,Darwin,Ongoing (Permanent) - Full Time,Administration and Business Services,1.0,45,1,Outer Regional,Darwin Region,No,No,Department of Health,Entry,24000 - 88000,1.0,Yes
163684,Director Southern Region,SENIOR ADMINISTRATIVE OFFICER 2,154922,Alice Springs,Ongoing (Permanent) - Full Time,Executive and Senior Management,1.0,10,1,Very Remote,Central Region,No,No,"Department of Environment, Parks and Water Security",Middle Management,134000 - 384000,1.0,Yes
163687,Administration Manager,ADMINISTRATIVE OFFICER 5,90492,Darwin,Fixed (Temporary) - Full Time,Administration and Business Services,1.0,31,1,Outer Regional,Darwin Region,No,No,Department of Education,First Management,88000 - 103000,1.0,Yes
163696,"Director, Student Experience",EXECUTIVE OFFICER 1 - BIITE,221884,Batchelor,Fixed (Temporary) - Full Time,"Administration and Business Services, Education and Training, Executive and Senior Management",1.0,0,0,Remote,Darwin Region,No,No,Department of Education,Middle Management,134000 - 384000,0.0,No
163715,Aboriginal and Islander Educational Worker,ADMINISTRATIVE OFFICER 4 92%,90492,Darwin,Fixed (Temporary) - Full Time,"Education and Training, Administration and Business Services",1.0,0,0,Outer Regional,Darwin Region,No,Yes,Department of Education,Entry,88000 - 103000,0.0,No
163719,Water and Sewer Technician,PWC TRADE TECHNICAL,95746,Yulara,Ongoing (Permanent) - Full Time,"Trades, Maintenance and Services",1.0,5,1,Remote,Central Region,No,No,Department of Health,Entry,88000 - 103000,1.0,Yes
163729,Legal Officer,ADMINISTRATIVE OFFICER 6,102135,Darwin,Fixed (Temporary) - Full Time,"Transport and Logistics, Legal",1.0,12,1,Outer Regional,Darwin Region,No,Yes,"Department of Infrastructure, Planning and Logistics",Entry,88000 - 103000,1.0,Yes
163731,Administration Officer ,ADMINISTRATIVE OFFICER 4,79987,Katherine,Ongoing (Permanent) - Full Time,Administration and Business Services,1.0,41,1,Remote,Big Rivers Region,No,No,Department of Health,Entry,24000 - 88000,1.0,Yes
163732,Senior Director,SENIOR ADMINISTRATIVE OFFICER 2,154922,Darwin,Fixed (Temporary) - Full Time,Executive and Senior Management,1.0,5,0,Outer Regional,Darwin Region,No,Yes,Department of Health,Middle Management,134000 - 384000,0.0,No
163737,"Assistant Director, Assistant Teacher Project",SENIOR ADMINISTRATIVE OFFICER 1,135933,Darwin,Fixed (Temporary) - Full Time,Administration and Business Services,1.0,10,0,Outer Regional,Darwin Region,No,No,Department of Education,Middle Management,134000 - 384000,0.0,No
163746,"Program Leader, Wildstock Fisheries",SENIOR ADMINISTRATIVE OFFICER 1,135933,Darwin,Ongoing (Permanent) - Full Time,"Administration and Business Services, Environment, Natural Resources and Conservation, Executive and Senior Management, Primary Industry",1.0,0,0,Outer Regional,Darwin Region,No,No,"Department of Industry, Tourism and Trade",Entry,134000 - 384000,0.0,No
163763,Aboriginal and Islander Educational Worker,ADMINISTRATIVE OFFICER 4 92%,90492,Darwin,Fixed (Temporary) - Full Time,"Education and Training, Administration and Business Services",1.0,17,1,Outer Regional,Darwin Region,No,Yes,Department of Education,Entry,88000 - 103000,1.0,Yes
163766,Laboratory Technician,ADMINISTRATIVE OFFICER 3,68933,Alice Springs,Ongoing (Permanent) - Full Time,Education and Training,1.0,11,1,Very Remote,Central Region,No,No,Department of Education,Entry,24000 - 88000,1.0,Yes
163769,Senior Systems Administrator,ADMINISTRATIVE OFFICER 6,102135,Darwin,Ongoing (Permanent) - Full Time,"Information and Communication Technology (ICT), Information and Records Management",1.0,12,0,Outer Regional,Darwin Region,No,No,Department of Corporate and Digital Development,Intermediate,88000 - 103000,0.0,No
163770,Practice Leader,PROFESSIONAL 3,117313,Darwin,Ongoing (Permanent) - Full Time,"Professional, Administration and Business Services",1.0,9,2,Outer Regional,Darwin Region,No,No,"Department of Territory Families, Housing and Communities",Entry,103000 - 134000,2.0,Yes
163780,Payroll Employment Services Manager,ADMINISTRATIVE OFFICER 6,102135,Darwin,Ongoing (Permanent) - Full Time,"Administration and Business Services, Accounting and Finance",1.0,14,1,Outer Regional,Darwin Region,No,No,Department of Corporate and Digital Development,First Management,88000 - 103000,1.0,Yes
163789,Systems Administrator,ADMINISTRATIVE OFFICER 5,90492,Darwin,Ongoing (Permanent) - Full Time,"Information and Communication Technology (ICT), Information and Records Management",1.0,27,1,Outer Regional,Darwin Region,No,No,Department of Corporate and Digital Development,Entry,88000 - 103000,1.0,Yes
163794,Housing Asset Maintenance Officer ,ADMINISTRATIVE OFFICER 4,79987,Darwin,Fixed (Temporary) - Full Time,"Construction, Architecture and Design, Program and Project Management, Trades, Maintenance and Services, Administration and Business Services",1.0,38,0,Outer Regional,Darwin Region,No,No,"Department of Territory Families, Housing and Communities",Entry,24000 - 88000,0.0,No
163802,Director Information and Communication Technology Enterprise Architecture,"EXECUTIVE OFFICER 1 - EXECUTIVE CONTRACT, SENIOR ADMINISTRATIVE OFFICER 2",230060,Darwin,Fixed (Temporary) - Full Time,"Information and Communication Technology (ICT), Administration and Business Services, Executive and Senior Management",1.0,11,1,Outer Regional,Darwin Region,No,No,Department of Corporate and Digital Development,Middle Management,134000 - 384000,1.0,Yes
163811,Manager Southern Region,SENIOR ADMINISTRATIVE OFFICER 1,135933,Alice Springs,Ongoing (Permanent) - Full Time,Administration and Business Services,1.0,11,0,Very Remote,Central Region,No,No,Department of Trade Business and Innovation,First Management,134000 - 384000,0.0,No
163812,Yardsman,PHYSICAL 2 - RDO,59613,Katherine,Ongoing (Permanent) - Full Time,Engineering,1.0,14,1,Remote,Big Rivers Region,No,No,Department of Health,Entry,24000 - 88000,1.0,Yes
163818,Senior Client Services Officer,ADMINISTRATIVE OFFICER 5,90492,Katherine,Fixed (Temporary) - Full Time,Administration and Business Services,1.0,12,2,Remote,Big Rivers Region,No,No,"Department of Territory Families, Housing and Communities",Intermediate,88000 - 103000,2.0,Yes
163822,Senior Project Officer,ADMINISTRATIVE OFFICER 7,118256,Darwin,Ongoing (Permanent) - Full Time,Administration and Business Services,1.0,14,0,Outer Regional,Darwin Region,No,No,"Department of Territory Families, Housing and Communities",Intermediate,103000 - 134000,0.0,No
163824,Administration Support Officer,ADMINISTRATIVE OFFICER 3,68933,Darwin,Ongoing (Permanent) - Full Time,Administration and Business Services,1.0,120,1,Outer Regional,Darwin Region,No,No,"Department of Territory Families, Housing and Communities",Entry,24000 - 88000,1.0,Yes
163827,Alice Outcomes Classroom Teacher,CLASSROOM TEACHER,84191,Alice Springs,Fixed (Temporary) - Full Time,Education and Training,1.0,10,1,Very Remote,Central Region,No,No,Department of Education,Entry,24000 - 88000,1.0,Yes
163832,Patient Support Assistant ,TECHNICAL 1 - RDO,62001,Alice Springs,Ongoing (Permanent) - Full Time,Allied Health and Health Care Services,2.0,41,2,Very Remote,Central Region,No,No,Department of Health,Entry,24000 - 88000,1.0,Yes
163838,Complaints Officer,ADMINISTRATIVE OFFICER 6,102135,Darwin,Fixed (Temporary) - Full Time,"Administration and Business Services, Child Protection",1.0,34,1,Outer Regional,Darwin Region,No,No,"Department of Territory Families, Housing and Communities",Entry,88000 - 103000,1.0,Yes
163842,Senior Psychologist ,PROFESSIONAL 3,117313,Darwin,Fixed (Temporary) - Part Time,Allied Health and Health Care Services,1.0,1,1,Outer Regional,Darwin Region,No,Yes,Department of Health,Intermediate,103000 - 134000,1.0,Yes
163846,"Family Educator, Families as First Teachers Program",SENIOR TEACHER 1,133553,Katherine,Fixed (Temporary) - Full Time,Education and Training,1.0,4,1,Remote,Big Rivers Region,No,No,Department of Education,Entry,103000 - 134000,1.0,Yes
163847,Psychologist,PROFESSIONAL 2,98618,"Darwin, Palmerston",Fixed (Temporary) - Full Time,"Allied Health and Health Care Services, Professional",1.0,2,0,Outer Regional,Darwin Region,Yes,Yes,Department of Health,Entry,88000 - 103000,0.0,No
163848,Senior Project Manager Electrical / Mechanical,TECHNICAL 6,113897,Nhulunbuy,Ongoing (Permanent) - Full Time,"Trades, Maintenance and Services",1.0,6,0,Remote,East Arnhem Region,No,No,"Department of Infrastructure, Planning and Logistics",First Management,103000 - 134000,0.0,No
163860,Senior Project Manager Repairs and Maintenance Program,TECHNICAL 6,113897,Darwin,Ongoing (Permanent) - Full Time,"Engineering, Program and Project Management, Trades, Maintenance and Services",1.0,8,0,Outer Regional,Darwin Region,No,No,Department of Health,First Management,103000 - 134000,0.0,No
163864,Finance Officer,ADMINISTRATIVE OFFICER 5,90492,Darwin,Ongoing (Permanent) - Full Time,"Accounting and Finance, Administration and Business Services",1.0,33,1,Outer Regional,Darwin Region,No,No,Department of Health,Entry,88000 - 103000,1.0,Yes
163865,Water and Sewer Technical Coordinator,PWC TECHNICAL COORDINATOR,152433,Alice Springs,Ongoing (Permanent) - Full Time,"Trades, Maintenance and Services",1.0,8,1,Very Remote,Central Region,No,No,Department of Health,Intermediate,134000 - 384000,1.0,Yes
163866,Clinical Nurse Consultant,NURSE LEVEL 4 RDO,122287,Katherine,Ongoing (Permanent) - Full Time,Nursing and Midwifery,1.0,1,1,Remote,Big Rivers Region,No,No,Department of Health,Entry,103000 - 134000,1.0,Yes
163879,Classroom Teacher,CLASSROOM TEACHER,84191,Palmerston,Fixed (Temporary) - Full Time,"Education and Training, Administration and Business Services",1.0,6,0,Outer Regional,Darwin Region,No,No,Department of Education,Entry,24000 - 88000,0.0,No
163880,Manager Procurement,SENIOR ADMINISTRATIVE OFFICER 1,135933,Darwin,Fixed (Temporary) - Full Time,"Procurement, Grants and Contract Management",1.0,14,0,Outer Regional,Darwin Region,No,No,"Department of Territory Families, Housing and Communities",First Management,134000 - 384000,0.0,No
163882,Senior Procurement Advisor,ADMINISTRATIVE OFFICER 7,118256,Darwin,Fixed (Temporary) - Full Time,"Procurement, Grants and Contract Management, Administration and Business Services",1.0,10,0,Outer Regional,Darwin Region,No,No,"Department of Territory Families, Housing and Communities",Intermediate,103000 - 134000,0.0,No
163907,Manager Room to Breathe Program,SENIOR ADMINISTRATIVE OFFICER 1,135933,Darwin,Ongoing (Permanent) - Full Time,"Construction, Architecture and Design, Executive and Senior Management, Program and Project Management",1.0,16,1,Outer Regional,Darwin Region,No,No,"Department of Territory Families, Housing and Communities",First Management,134000 - 384000,1.0,Yes
163908,Administration Officer,ADMINISTRATIVE OFFICER 5,90492,Darwin,Ongoing (Permanent) - Full Time,Administration and Business Services,1.0,74,1,Outer Regional,Darwin Region,No,No,"NT Police, Fire and Emergency Services",Entry,88000 - 103000,1.0,Yes
163909,Pastoral Production Officer,PROFESSIONAL 1,77961,Tennant Creek,Fixed (Temporary) - Full Time,"Agriculture, Animal and Horticulture, Professional, Science",1.0,3,0,Remote,Barkly Region,No,No,"Department of Industry, Tourism and Trade",Entry,24000 - 88000,0.0,No
163913,Principal Taxation Analyst,SENIOR ADMINISTRATIVE OFFICER 1,135933,Darwin,Fixed (Temporary) - Full Time,"Administration and Business Services, Executive and Senior Management, Accounting and Finance",1.0,5,0,Outer Regional,Darwin Region,No,No,Department of Corporate and Digital Development,First Management,134000 - 384000,0.0,No
163915,Administration Manager,ADMINISTRATIVE OFFICER 6,102135,Darwin,Fixed (Temporary) - Full Time,Education and Training,1.0,17,1,Outer Regional,Darwin Region,No,No,Department of Education,First Management,88000 - 103000,1.0,Yes
163929,Senior Teacher - Bilingual Education,SENIOR TEACHER 1,133553,Willowra-Wirilyatjar,Fixed (Temporary) - Full Time,"Education and Training, Administration and Business Services",1.0,2,1,Very Remote,Central Region,No,No,Department of Education,Intermediate,103000 - 134000,1.0,Yes
163931,Senior Clinical Forensic Mental Health Policy Officer,SENIOR PROFESSIONAL OFFICER 1,135933,Darwin,Fixed (Temporary) - Full Time,"Professional, Program and Project Management",1.0,4,1,Outer Regional,Darwin Region,No,No,Department of Health,Intermediate,134000 - 384000,1.0,Yes
163935,Senior Child Protection Practitioner,PROFESSIONAL 2,98618,Darwin,Ongoing (Permanent) - Full Time,"Child Protection, Community Services, Professional, Social Work",1.0,6,2,Outer Regional,Darwin Region,No,No,"Department of Territory Families, Housing and Communities",Intermediate,88000 - 103000,2.0,Yes
163941,Business Team Leader,ADMINISTRATIVE OFFICER 6,102135,Palmerston,Ongoing (Permanent) - Full Time,Administration and Business Services,1.0,10,0,Outer Regional,Darwin Region,No,No,"Department of Territory Families, Housing and Communities",First Management,88000 - 103000,0.0,No
163942,Outage Manager,TGEN SENIOR TECHNICAL COORDINATOR,169770,Darwin,Ongoing (Permanent) - Full Time,"Engineering, Program and Project Management, Trades, Maintenance and Services",1.0,6,1,Outer Regional,Darwin Region,No,No,Department of Treasury and Finance,First Management,134000 - 384000,1.0,Yes
163943,Primary Health Care Nurses ,NURSE LEVEL 4,122287,"Angurugu, Batchelor, Borroloola, Gunbalanya-Oenpelli, Jabiru, Numbulwar, Palumpa-Nganmarriyan, Pine Creek, Ramingining, Umbakumba, Wadeye-Port Keats, Warruwi, Minjilang (Croker Island), Lake Evella",Fixed (Temporary) - Full Time,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",3.0,8,2,Remote,Darwin Region,Yes,No,Department of Health,Entry,103000 - 134000,0.6666666666666666,Yes
163946,Triage Officer,"ADMINISTRATIVE OFFICER 4, PROFESSIONAL 1",90492,Darwin,Ongoing (Permanent) - Full Time,"Administration and Business Services, Child Protection",7.0,43,6,Outer Regional,Darwin Region,No,No,"Department of Territory Families, Housing and Communities",Entry,88000 - 103000,0.8571428571428571,Yes
163959,Education Advisor Positive Learning Centre,SENIOR TEACHER 1,133553,Katherine,Ongoing (Permanent) - Full Time,Education and Training,1.0,4,1,Remote,Big Rivers Region,No,No,Department of Education,Entry,103000 - 134000,1.0,Yes
163964,Information Management Support Officer,ADMINISTRATIVE OFFICER 3,68933,Darwin,Ongoing (Permanent) - Full Time,Administration and Business Services,1.0,63,0,Outer Regional,Darwin Region,No,No,Department of Health,Entry,24000 - 88000,0.0,No
163996,Project Officer,ADMINISTRATIVE OFFICER 4,79987,Alice Springs,Fixed (Temporary) - Full Time,"Administration and Business Services, Program and Project Management",1.0,14,1,Very Remote,Central Region,No,Yes,"Department of Infrastructure, Planning and Logistics",Entry,24000 - 88000,1.0,Yes
163999,Classroom Teacher - Primary,CLASSROOM TEACHER,84191,Areyonga (Utju),Fixed (Temporary) - Full Time,"Education and Training, Administration and Business Services",1.0,6,1,Very Remote,Central Region,No,No,Department of Education,Entry,24000 - 88000,1.0,Yes
164030,Store Person,PWC BAND 1 ADMIN CORPORATE SERVICES FT,75362,Darwin,Ongoing (Permanent) - Full Time,Administration and Business Services,1.0,83,1,Outer Regional,Darwin Region,No,No,Department of Health,Entry,24000 - 88000,1.0,Yes
164040,Assistant Director Strategic Recruitment,SENIOR ADMINISTRATIVE OFFICER 1,135933,Darwin,Ongoing (Permanent) - Full Time,"Education and Training, Administration and Business Services",1.0,5,0,Outer Regional,Darwin Region,No,No,Department of Education,Middle Management,134000 - 384000,0.0,No
164054,Senior Ministerial Liaison Officer,ADMINISTRATIVE OFFICER 5,90492,Darwin,Ongoing (Permanent) - Full Time,Administration and Business Services,1.0,13,1,Outer Regional,Darwin Region,No,No,"Department of Infrastructure, Planning and Logistics",Intermediate,88000 - 103000,1.0,Yes
164055,Senior Occupational Therapist,PROFESSIONAL 3,117313,Darwin,Fixed (Temporary) - Full Time,"Professional, Allied Health and Health Care Services, Education and Training",1.0,2,1,Outer Regional,Darwin Region,No,No,Department of Education,Intermediate,103000 - 134000,1.0,Yes
164063,Senior Land Project Officer,ADMINISTRATIVE OFFICER 7,118256,Darwin,Ongoing (Permanent) - Full Time,Program and Project Management,1.0,0,0,Outer Regional,Darwin Region,No,No,"Department of Infrastructure, Planning and Logistics",Intermediate,103000 - 134000,0.0,No
164065,Project Officer – Civil ,TECHNICAL 3,81825,Palmerston,Ongoing (Permanent) - Full Time,"Construction, Architecture and Design, Engineering, Trades, Maintenance and Services",1.0,23,1,Outer Regional,Darwin Region,No,No,"Department of Infrastructure, Planning and Logistics",Entry,24000 - 88000,1.0,Yes
164069,Aboriginal Sexual Assault Worker,ADMINISTRATIVE OFFICER 5,90492,Alice Springs,Fixed (Temporary) - Full Time,Allied Health and Health Care Services,1.0,3,0,Very Remote,Central Region,No,No,Department of Health,Entry,88000 - 103000,0.0,No
164071,Project Officer,ADMINISTRATIVE OFFICER 5,90492,Darwin,Fixed (Temporary) - Full Time,Administration and Business Services,1.0,27,1,Outer Regional,Darwin Region,No,Yes,"Department of Territory Families, Housing and Communities",Entry,88000 - 103000,1.0,Yes
164072,Sexual Assault Counsellor,PROFESSIONAL 3,117313,Alice Springs,Fixed (Temporary) - Part Time,Allied Health and Health Care Services,1.0,1,0,Very Remote,Central Region,No,No,Department of Health,Entry,103000 - 134000,0.0,No
164075,Education Resources Development Officer ,ADMINISTRATIVE OFFICER 4,79987,Alice Springs,Ongoing (Permanent) - Full Time,"Administration and Business Services, Education and Training",1.0,2,1,Very Remote,Central Region,No,No,Department of Health,Entry,24000 - 88000,1.0,Yes
164080,Senior Policy and Project Officer,ADMINISTRATIVE OFFICER 7,118256,Darwin,Fixed (Temporary) - Full Time,Administration and Business Services,1.0,12,1,Outer Regional,Darwin Region,No,No,Department of Education,Intermediate,103000 - 134000,1.0,Yes
164090,Senior Facilities Officer,ADMINISTRATIVE OFFICER 6,102135,Alice Springs,Ongoing (Permanent) - Full Time,"Accounting and Finance, Administration and Business Services, Construction, Architecture and Design, Procurement, Grants and Contract Management",1.0,5,0,Very Remote,Central Region,No,No,Department of Health,Intermediate,88000 - 103000,0.0,No
164097,Clinic Medical Officer,COMMUNITY MEDICAL OFFICER,118703,Darwin,Ongoing (Permanent) - Part Time,"Medical, Allied Health and Health Care Services",1.0,4,0,Outer Regional,Darwin Region,No,No,Department of Health,Entry,103000 - 134000,0.0,No
164104,Nurse Audiometrist ,NURSE LEVEL 4 RDO,122287,Katherine,Ongoing (Permanent) - Full Time,Nursing and Midwifery,1.0,2,0,Remote,Big Rivers Region,No,No,Department of Health,Entry,103000 - 134000,0.0,No
164107,"Teaching and Learning Officer, Humanities",SENIOR TEACHER 2,138843,Darwin,Fixed (Temporary) - Full Time,Education and Training,1.0,4,1,Outer Regional,Darwin Region,No,No,Department of Education,Entry,134000 - 384000,1.0,Yes
164115,Teaching and Learning Officer ,SENIOR TEACHER 2,138843,Darwin,Fixed (Temporary) - Full Time,"Education and Training, Administration and Business Services",1.0,0,0,Outer Regional,Darwin Region,No,No,Department of Education,Entry,134000 - 384000,0.0,No
164124,Principal Crown Prosecutor (Sexual Assault),EXECUTIVE OFFICER 2 - EXECUTIVE CONTRACT,251074,Darwin,Fixed (Temporary) - Full Time,"Legal, Executive and Senior Management, Administration and Business Services",1.0,2,0,Outer Regional,Darwin Region,No,No,Department of the Attorney-General and Justice,First Management,134000 - 384000,0.0,No
164126,Executive Assistant,ADMINISTRATIVE OFFICER 3,68933,Darwin,Ongoing (Permanent) - Full Time,"Administration and Business Services, Allied Health and Health Care Services",1.0,50,1,Outer Regional,Darwin Region,No,No,Department of Health,Entry,24000 - 88000,1.0,Yes
164129,"Coordinator, Community Visitor Program Central Australia",ADMINISTRATIVE OFFICER 7,118256,Alice Springs,Ongoing (Permanent) - Full Time,"Community Services, Legal, Administration and Business Services",1.0,19,1,Very Remote,Central Region,No,No,Department of the Attorney-General and Justice,Intermediate,103000 - 134000,1.0,Yes
164133,Assistant Director Budget and Resource Analysis,SENIOR ADMINISTRATIVE OFFICER 1,135933,Darwin,Ongoing (Permanent) - Full Time,Accounting and Finance,1.0,13,0,Outer Regional,Darwin Region,No,No,Department of Education,Middle Management,134000 - 384000,0.0,No
164134,Compliance Officer,ADMINISTRATIVE OFFICER 5,90492,Darwin,Ongoing (Permanent) - Full Time,Administration and Business Services,1.0,43,1,Outer Regional,Darwin Region,No,No,"Department of Territory Families, Housing and Communities",Entry,88000 - 103000,1.0,Yes
164140,"Senior Teacher, Special Education",SENIOR TEACHER 1,133553,Alice Springs,Ongoing (Permanent) - Full Time,"Education and Training, Administration and Business Services",1.0,5,1,Very Remote,Central Region,No,No,Department of Education,Intermediate,103000 - 134000,1.0,Yes
164141,Project Support Officer,ADMINISTRATIVE OFFICER 4,79987,Darwin,Ongoing (Permanent) - Full Time,"Administration and Business Services, Community Services, Program and Project Management",1.0,25,1,Outer Regional,Darwin Region,No,No,"Department of Infrastructure, Planning and Logistics",Entry,24000 - 88000,1.0,Yes
164142,Senior Teacher,SENIOR TEACHER 1,133553,Alice Springs,Fixed (Temporary) - Full Time,"Education and Training, Administration and Business Services",1.0,6,1,Very Remote,Central Region,No,No,Department of Education,Intermediate,103000 - 134000,1.0,Yes
164148,Property Contract Officer,TECHNICAL 5,103447,Alice Springs,Fixed (Temporary) - Full Time,"Construction, Architecture and Design, Information and Records Management",1.0,7,0,Very Remote,Central Region,No,No,"Department of Territory Families, Housing and Communities",Entry,88000 - 103000,0.0,No
164157,Senior Housing Officer Property and Tenancy Management,ADMINISTRATIVE OFFICER 7,118256,Katherine,Fixed (Temporary) - Full Time,Administration and Business Services,1.0,2,0,Remote,Big Rivers Region,No,No,"Department of Territory Families, Housing and Communities",Intermediate,103000 - 134000,0.0,No
